domain, label
"nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526", 1.0
"www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php", 1.0
"serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/", 1.0
"mail.printakid.com/www.online.americanexpress.com/index.html", 1.0
"thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/", 1.0
"smilesvoegol.servebbs.org/voegol.php", 1.0
"premierpaymentprocessing.com/includes/boleto-2via-07-2012.php", 1.0
"myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php", 1.0
"super1000.info/docs", 1.0
"horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b", 1.0
"phlebolog.com.ua/libraries/joomla/results.php", 1.0
"docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ", 1.0
"www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx", 1.0
"www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php", 1.0
"perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/", 1.0
"lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1", 1.0
"anonymeidentity.net/remax./remax.htm", 1.0
"dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html", 1.0
"www.avedeoiro.com/site/plugins/chase/", 1.0
"asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/", 1.0
"www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/", 1.0
"optimistic-pessimism.com/aoluserupdatealert.info.htm", 1.0
"mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/", 1.0
"www.everythinggoingon.net/~gpeveryt/home/Email/", 1.0
"mercadolivre.com.br.premiosfidelidade2012.com.br/", 1.0
"www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/", 1.0
"jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php", 1.0
"xini.eu/00Qe", 1.0
"myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php", 1.0
"paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/", 1.0
"ebayisapidlld.altervista.org/", 1.0
"horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce", 1.0
"www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php", 1.0
"sontemeda.altervista.org/paypinoko/paypinoko/procesing.php", 1.0
"promusic.co/components/interbank.com/", 1.0
"uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/", 1.0
"docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ", 1.0
"remax.com.behinehsazerooyesh.com/remax/index.htm", 1.0
"www.aclaydance.com/ncpf.php", 1.0
"phamxuanlinh.tk/secure-code8/security/login.php", 1.0
"stthomasedu.ucoz.ua/microsoft.htm", 1.0
"www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/", 1.0
"paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/", 1.0
"tinyurl.com/bswqloj", 1.0
"users11.jabry.com/blopp/Aolupdate.htm", 1.0
"tad.ly/BUpQLx", 1.0
